Reporter,Partner,Date of Signature,Date of entry into force
Zimbabwe,Austria,10-Nov-00,---
Zimbabwe,Botswana,21-Mar-11,---
Zimbabwe,China,21-May-96,1-Mar-98
Zimbabwe,Croatia,18-Feb-00,---
Zimbabwe,Czech Republic,13-Sep-99,---
Zimbabwe,Denmark,25-Oct-96,2-Feb-99
Zimbabwe,Egypt,2-Jun-99,---
Zimbabwe,France,4-May-01,---
Zimbabwe,Germany,29-Sep-95,14-Apr-00
Zimbabwe,Ghana,30-Jun-03,---
Zimbabwe,India,10-Feb-99,---
Zimbabwe,Indonesia,10-Feb-99,---
Zimbabwe,"Iran, Islamic Republic of",9-May-99,---
Zimbabwe,Italy,16-Apr-99,---
Zimbabwe,Jamaica,10-Feb-99,---
Zimbabwe,Malawi,4-Jul-03,---
Zimbabwe,Malaysia,28-Apr-94,---
Zimbabwe,Mauritius,17-May-00,---
Zimbabwe,Mozambique,12-Sep-90,---
Zimbabwe,Netherlands,11-Dec-96,1-May-98
Zimbabwe,Portugal,5-May-94,---
Zimbabwe,Serbia,19-Sep-96,22-Jul-97
Zimbabwe,Singapore,1-Sep-00,---
Zimbabwe,South Africa,27-Nov-09,---
Zimbabwe,Sweden,6-Oct-97,---
Zimbabwe,Switzerland,15-Aug-96,9-Feb-01
Zimbabwe,"Tanzania, United Republic",3-Jul-03,---
Zimbabwe,Thailand,18-Feb-00,---
Zimbabwe,Uganda,1-Jul-03,---
Zimbabwe,United Kingdom,1-Mar-95,---
Zambia,Belgium and Luxembourg,18-May-01,---
Zambia,China,21-Jun-96,---
Zambia,Cuba,22-Jan-00,---
Zambia,Egypt,28-Apr-00,---
Zambia,Finland,7-Sep-05,---
Zambia,France,1-Jan-02,---
Zambia,Germany,10-Dec-66,25-Aug-72
Zambia,Ghana,18-May-01,---
Zambia,Italy,20-Apr-03,---
Zambia,Netherlands,30-Apr-03,---
Zambia,Seychelles,7-Dec-10,---
Zambia,Switzerland,3-Aug-94,7-Mar-95
Yemen,Algeria,25-Nov-99,---
Yemen,Austria,1-Jul-02,1-Jul-04
Yemen,Bahrain,1-Dec-02,---
Yemen,Belarus,18-Jul-03,---
Yemen,Belgium and Luxembourg,20-Nov-00,12-Jan-04
Yemen,Bulgaria,12-Apr-02,11-Apr-03
Yemen,China,16-Feb-98,10-Apr-02
Yemen,Czech Republic,20-May-08,4-Sep-09
Yemen,Egypt,6-Jun-96,10-Apr-98
Yemen,Ethiopia,15-Apr-99,15-Apr-00
Yemen,France,27-Apr-84,19-Jul-91
Yemen,Germany,2-Feb-05,28-Mar-08
Yemen,Hungary,18-Jan-04,9-Apr-06
Yemen,India,1-Oct-02,10-Feb-04
Yemen,Indonesia,20-Feb-98,---
Yemen,"Iran, Islamic Republic of",29-Feb-96,16-Oct-00
Yemen,Italy,25-Nov-04,3-May-08
Yemen,Jordan,18-Jun-95,28-Jan-98
Yemen,Kuwait,20-Feb-01,---
Yemen,Lebanon,25-Nov-99,13-May-02
Yemen,Malaysia,11-Feb-98,---
Yemen,Morocco,24-Feb-01,---
Yemen,Netherlands,18-Mar-85,1-Sep-86
Yemen,Oman,20-Sep-98,1-Apr-00
Yemen,Pakistan,11-May-99,---
Yemen,Qatar,7-Aug-00,---
Yemen,Russian Federation,1-Dec-02,17-Jun-05
Yemen,South Africa,1-Aug-02,---
Yemen,Spain,29-Jan-08,---
Yemen,Sudan,10-Aug-99,---
Yemen,Sweden,29-Oct-83,23-Feb-84
Yemen,Syrian Arab Republic,9-Oct-96,22-Jul-05
Yemen,Tunisia,8-Mar-98,---
Yemen,Turkey,7-Sep-00,31-Mar-11
Yemen,Ukraine,1-Feb-01,---
Yemen,United Arab Emirates,13-Feb-01,25-Aug-01
Yemen,United Kingdom,25-Feb-82,11-Nov-83
Viet Nam,Algeria,21-Oct-96,---
Viet Nam,Argentina,3-Jun-96,1-Jun-97
Viet Nam,Armenia,1-Feb-93,28-Apr-93
Viet Nam,Australia,5-Mar-91,11-Sep-91
Viet Nam,Austria,27-Mar-95,1-Oct-96
Viet Nam,Bangladesh,1-May-05,---
Viet Nam,Belarus,8-Jul-92,24-Nov-94
Viet Nam,Belgium and Luxembourg,24-Jan-91,11-Jun-99
Viet Nam,Bulgaria,19-Sep-96,15-May-98
Viet Nam,Cambodia,1-Sep-01,---
Viet Nam,Chile,16-Sep-99,---
Viet Nam,China,2-Dec-92,1-Sep-93
Viet Nam,Cuba,12-Oct-95,1-Oct-96
Viet Nam,Czech Republic,21-Mar-08,21-Sep-09
Viet Nam,Denmark,23-Jul-93,7-Aug-94
Viet Nam,Egypt,6-Sep-97,4-Mar-02
Viet Nam,Finland,21-Feb-08,4-Jun-09
Viet Nam,France,26-May-92,10-Aug-94
Viet Nam,Germany,3-Apr-93,19-Sep-98
Viet Nam,Greece,13-Oct-08,---
Viet Nam,Hungary,26-Aug-94,16-Jun-95
Viet Nam,Iceland,20-Sep-02,10-Jul-03
Viet Nam,India,8-Mar-97,1-Dec-99
Viet Nam,Indonesia,25-Oct-91,3-Apr-94
Viet Nam,"Iran, Islamic Republic of",23-Mar-09,---
Viet Nam,Italy,18-May-90,6-May-94
Viet Nam,Japan,14-Nov-03,19-Dec-04
Viet Nam,Kazakhstan,15-Sep-09,---
Viet Nam,"Korea, DPR",2-May-02,---
Viet Nam,"Korea, Republic of",15-Sep-03,5-Jun-04
Viet Nam,Lao PDR,14-Jan-96,23-Jun-96
Viet Nam,Latvia,6-Nov-95,20-Feb-96
Viet Nam,Lithuania,27-Sep-95,24-Apr-03
Viet Nam,Malaysia,21-Jan-92,9-Oct-92
Viet Nam,Mongolia,17-Apr-00,13-Dec-01
Viet Nam,Morocco,15-Jun-12,---
Viet Nam,Mozambique,16-Jan-07,29-May-07
Viet Nam,Myanmar,15-Feb-00,---
Viet Nam,Namibia,30-May-03,---
Viet Nam,Netherlands,10-Mar-94,1-Feb-95
Viet Nam,Oman,10-Jan-11,---
Viet Nam,Philippines,27-Feb-92,29-Jan-93
Viet Nam,Poland,31-Aug-94,24-Nov-94
Viet Nam,Romania,15-Sep-94,16-Aug-95
Viet Nam,Russian Federation,16-Jun-94,3-Jul-96
Viet Nam,Singapore,29-Oct-92,25-Dec-92
Viet Nam,Slovakia,17-Dec-09,18-Aug-11
Viet Nam,Spain,20-Feb-06,29-Jul-11
Viet Nam,Sri Lanka,22-Oct-09,---
Viet Nam,Sweden,8-Sep-93,2-Aug-94
Viet Nam,Switzerland,3-Jul-92,3-Dec-92
Viet Nam,Taiwan Province of China,21-Apr-93,23-Apr-93
Viet Nam,Tajikistan,19-Jan-99,---
Viet Nam,Thailand,30-Oct-91,7-Feb-92
Viet Nam,Ukraine,8-Jun-94,8-Dec-94
Viet Nam,United Arab Emirates,16-Feb-09,---
Viet Nam,United Kingdom,1-Aug-02,---
Viet Nam,Uruguay,12-May-09,---
Viet Nam,Uzbekistan,28-Mar-96,6-Mar-98
Viet Nam,Venezuela,20-Nov-08,17-Jun-09
Venezuela,Argentina,16-Nov-93,1-Jul-95
Venezuela,Barbados,15-Jul-94,31-Oct-95
Venezuela,Belarus,6-Dec-07,13-Aug-08
Venezuela,Belgium and Luxembourg,17-Mar-98,29-Apr-04
Venezuela,Brazil,4-Jul-95,---
Venezuela,Canada,1-Jul-96,28-Jan-98
Venezuela,Chile,2-Apr-93,25-May-95
Venezuela,Costa Rica,17-Mar-97,2-May-01
Venezuela,Cuba,11-Dec-96,15-Apr-04
Venezuela,Czech Republic,27-Apr-95,23-Jul-96
Venezuela,Denmark,28-Nov-94,19-Sep-96
Venezuela,Ecuador,18-Nov-93,1-Feb-95
Venezuela,France,2-Jul-01,30-Apr-04
Venezuela,Germany,14-May-96,16-Oct-98
Venezuela,Indonesia,18-Dec-00,23-Mar-03
Venezuela,"Iran, Islamic Republic of",11-Mar-05,7-Jun-06
Venezuela,Italy,14-Feb-01,---
Venezuela,Lithuania,24-Apr-95,1-Aug-96
Venezuela,Paraguay,5-Sep-96,14-Nov-97
Venezuela,Peru,12-Jan-96,18-Sep-97
Venezuela,Portugal,17-Jun-94,7-Oct-95
Venezuela,Russian Federation,7-Nov-08,26-Nov-09
Venezuela,Spain,2-Nov-95,10-Sep-97
Venezuela,Sweden,25-Nov-96,5-Jan-98
Venezuela,Switzerland,18-Nov-93,30-Nov-94
